Algorithm,Parameter,Condition,Final Performance,AUC
RPI$_{\mathrm{DQN}}$,Gravity,Doubled,98.86 ± 0.33,9278331 ± 83939
RPI$_{\mathrm{DQN}}$,Gravity,Halved,98.16 ± 0.34,9353999 ± 66988
RPI$_{\mathrm{DQN}}$,Cart Mass,Doubled,99.02 ± 0.33,9370131 ± 62063
RPI$_{\mathrm{DQN}}$,Cart Mass,Halved,98.86 ± 0.29,9290091 ± 54946
RPI$_{\mathrm{DQN}}$,Pole Mass,Doubled,98.52 ± 0.45,9310309 ± 54500
RPI$_{\mathrm{DQN}}$,Pole Mass,Halved,98.93 ± 0.27,9325299 ± 48943
DQN,Gravity,Doubled,67.65 ± 11.05,6763989 ± 838507
DQN,Gravity,Halved,73.75 ± 7.00,7290185 ± 211867
DQN,Cart Mass,Doubled,71.02 ± 9.28,7022482 ± 466510
DQN,Cart Mass,Halved,71.49 ± 6.06,7101525 ± 224453
DQN,Pole Mass,Doubled,73.28 ± 8.61,7174422 ± 403381
DQN,Pole Mass,Halved,72.10 ± 11.62,7116965 ± 447168
PPO,Gravity,Doubled,99.33 ± 0.05,9443183 ± 102678
PPO,Gravity,Halved,98.91 ± 1.28,9532152 ± 190961
PPO,Cart Mass,Doubled,99.34 ± 0.00,9289992 ± 190685
PPO,Cart Mass,Halved,99.33 ± 0.03,9639111 ± 130129
PPO,Pole Mass,Doubled,99.34 ± 0.00,9457807 ± 122287
PPO,Pole Mass,Halved,99.34 ± 0.00,9540941 ± 105882
DoubleDQN,Gravity,Doubled,77.16 ± 8.58,7401953 ± 303911
DoubleDQN,Gravity,Halved,71.10 ± 6.13,6931504 ± 237659
DoubleDQN,Cart Mass,Doubled,75.13 ± 10.14,7206202 ± 483413
DoubleDQN,Cart Mass,Halved,71.05 ± 9.97,7348026 ± 562591
DoubleDQN,Pole Mass,Doubled,71.35 ± 10.12,7183538 ± 426831
DoubleDQN,Pole Mass,Halved,70.06 ± 5.95,7015198 ± 256375
